,name,salary,min_salary,max_salary,currency_salary,link,source
112,Python разработчик,от 350 000 руб.,350000.0,,руб.,https://hh.ru/vacancy/76929580?from=vacancy_search_list&query=python,hh.ru
113,Middle Python Developer (Machine Learning),З/П не указана,,,,https://hh.ru/vacancy/77342523?from=vacancy_search_list&query=python,hh.ru
114,Разработчик Python+MS SQL+1C,З/П не указана,,,,https://hh.ru/vacancy/75878225?from=vacancy_search_list&query=python,hh.ru
115,Разработчик Python (ALD),З/П не указана,,,,https://hh.ru/vacancy/70052938?from=vacancy_search_list&query=python,hh.ru
116,Team Lead with back-end (Python) - remote,4 000 – 5 000 USD,4000.0,5000.0,USD,https://hh.ru/vacancy/77363153?from=vacancy_search_list&query=python,hh.ru
117,Инженер-программист / Бэкенд-разработчик на Python,от 50 000 руб.,50000.0,,руб.,https://hh.ru/vacancy/70975727?from=vacancy_search_list&query=python,hh.ru
118,Middle/senior python разработчик,от 200 000 руб.,200000.0,,руб.,https://hh.ru/vacancy/76712283?from=vacancy_search_list&query=python,hh.ru
119,Data-analyst,З/П не указана,,,,https://hh.ru/vacancy/76417646?from=vacancy_search_list&query=python,hh.ru
120,Data analyst / Аналитик данных,З/П не указана,,,,https://hh.ru/vacancy/73591237?from=vacancy_search_list&query=python,hh.ru
121,Senior Python developer,от 230 000 руб.,230000.0,,руб.,https://hh.ru/vacancy/75859273?from=vacancy_search_list&query=python,hh.ru
122,Инженер по автоматизации тестирования Python,З/П не указана,,,,https://hh.ru/vacancy/77332335?from=vacancy_search_list&query=python,hh.ru
123,Data Analyst / Аналитик Bl,до 140 000 руб.,,140000.0,руб.,https://hh.ru/vacancy/76348422?from=vacancy_search_list&query=python,hh.ru
124,Middle Python разработчик,120 000 – 180 000 руб.,120000.0,180000.0,руб.,https://hh.ru/vacancy/77019389?from=vacancy_search_list&query=python,hh.ru
125,Strong Middle Python developer,З/П не указана,,,,https://hh.ru/vacancy/77218819?from=vacancy_search_list&query=python,hh.ru
126,Python senior developer (разработчик),от 250 000 руб.,250000.0,,руб.,https://hh.ru/vacancy/76840138?from=vacancy_search_list&query=python,hh.ru
127,Middle backend-разработчик Python,З/П не указана,,,,https://hh.ru/vacancy/76140465?from=vacancy_search_list&query=python,hh.ru
128,Game Analyst (игровой аналитик),З/П не указана,,,,https://hh.ru/vacancy/76254367?from=vacancy_search_list&query=python,hh.ru
129,Ведущий разработчик Python,З/П не указана,,,,https://hh.ru/vacancy/72399179?from=vacancy_search_list&query=python,hh.ru
130,Программист Linux,100 000 – 500 000 руб.,100000.0,500000.0,руб.,https://hh.ru/vacancy/76592132?from=vacancy_search_list&query=python,hh.ru
131,Python Backend Developer (middle),З/П не указана,,,,https://hh.ru/vacancy/76924747?from=vacancy_search_list&query=python,hh.ru
132,Middle backend developer,от 500 000 KZT,500000.0,,KZT,https://hh.ru/vacancy/77367992?from=vacancy_search_list&query=python,hh.ru
133,Менеджер проектов со знанием Python,30 000 – 50 000 руб.,30000.0,50000.0,руб.,https://hh.ru/vacancy/77148210?from=vacancy_search_list&query=python,hh.ru
134,Senior Python Developer,5 000 – 6 000 USD,5000.0,6000.0,USD,https://hh.ru/vacancy/76650700?from=vacancy_search_list&query=python,hh.ru
135,Главный разработчик Python,100 000 – 200 000 руб.,100000.0,200000.0,руб.,https://hh.ru/vacancy/70093763?from=vacancy_search_list&query=python,hh.ru
136,Младший преподаватель Python (Физтехпарк),З/П не указана,,,,https://hh.ru/vacancy/75729936?from=vacancy_search_list&query=python,hh.ru
137,Аналитик данных,З/П не указана,,,,https://hh.ru/vacancy/77219984?from=vacancy_search_list&query=python,hh.ru
138,Программист Python php (Москва),80 000 – 100 000 руб.,80000.0,100000.0,руб.,https://hh.ru/vacancy/77163195?from=vacancy_search_list&query=python,hh.ru
139,Программист qlikview,З/П не указана,,,,https://hh.ru/vacancy/77285800?from=vacancy_search_list&query=python,hh.ru
140,Data scientist / Аналитик риск-моделей,120 000 – 300 000 руб.,120000.0,300000.0,руб.,https://hh.ru/vacancy/77181469?from=vacancy_search_list&query=python,hh.ru
141,Python Developer,З/П не указана,,,,https://hh.ru/vacancy/77220983?from=vacancy_search_list&query=python,hh.ru
142,"Инженер по применению (направление ""Искусственный интеллект"")",З/П не указана,,,,https://hh.ru/vacancy/76371806?from=vacancy_search_list&query=python,hh.ru
143,Разработчик Python,З/П не указана,,,,https://hh.ru/vacancy/51472686?from=vacancy_search_list&query=python,hh.ru
144,Team Lead Python,от 6 500 USD,6500.0,,USD,https://hh.ru/vacancy/69431361?from=vacancy_search_list&query=python,hh.ru
145,Middle Python Developer,З/П не указана,,,,https://hh.ru/vacancy/76112746?from=vacancy_search_list&query=python,hh.ru
146,Middle Backend Developer,100 000 – 130 000 руб.,100000.0,130000.0,руб.,https://hh.ru/vacancy/76716623?from=vacancy_search_list&query=python,hh.ru
147,Python-разработчик,З/П не указана,,,,https://hh.ru/vacancy/77032460?from=vacancy_search_list&query=python,hh.ru
148,Системный аналитик,от 180 000 руб.,180000.0,,руб.,https://hh.ru/vacancy/76825827?from=vacancy_search_list&query=python,hh.ru
149,Программист Python,З/П не указана,,,,https://hh.ru/vacancy/67711604?from=vacancy_search_list&query=python,hh.ru
150,Наставник курсов по Python разработке,40 000 – 80 000 руб.,40000.0,80000.0,руб.,https://hh.ru/vacancy/77349366?from=vacancy_search_list&query=python,hh.ru
151,Продуктовый аналитик/Product Analyst,от 150 000 руб.,150000.0,,руб.,https://hh.ru/vacancy/77218483?from=vacancy_search_list&query=python,hh.ru
152,Разработчик Python (middle),З/П не указана,,,,https://hh.ru/vacancy/76816845?from=vacancy_search_list&query=python,hh.ru
153,Backend разработчик (Python),от 150 000 руб.,150000.0,,руб.,https://hh.ru/vacancy/76891919?from=vacancy_search_list&query=python,hh.ru
154,Python Backend Developer (Senior/Remote),до 300 000 руб.,,300000.0,руб.,https://hh.ru/vacancy/77060239?from=vacancy_search_list&query=python,hh.ru
155,Python-разработчик (команда SberWorks),З/П не указана,,,,https://hh.ru/vacancy/77133306?from=vacancy_search_list&query=python,hh.ru
156,Разработчик интеграционных решений,З/П не указана,,,,https://hh.ru/vacancy/76110611?from=vacancy_search_list&query=python,hh.ru
157,C++ Developer (MetaTrader),до 200 000 руб.,,200000.0,руб.,https://hh.ru/vacancy/77232587?from=vacancy_search_list&query=python,hh.ru
158,Middle/Senior bakend разработчик (Python),З/П не указана,,,,https://hh.ru/vacancy/75977451?from=vacancy_search_list&query=python,hh.ru
159,Python-разработчик,З/П не указана,,,,https://hh.ru/vacancy/77030437?from=vacancy_search_list&query=python,hh.ru
160,Python-разработчик (Senior),от 240 000 руб.,240000.0,,руб.,https://hh.ru/vacancy/77331406?from=vacancy_search_list&query=python,hh.ru
161,Fullstack Разработчик,от 50 000 руб.,50000.0,,руб.,https://hh.ru/vacancy/77266384?from=vacancy_search_list&query=python,hh.ru
162,Главный python разработчик управления данными (ДПП),З/П не указана,,,,https://hh.ru/vacancy/76080775?from=vacancy_search_list&query=python,hh.ru
163,Python-разработчик (middle),З/П не указана,,,,https://hh.ru/vacancy/77289629?from=vacancy_search_list&query=python,hh.ru
164,Data-аналитик,З/П не указана,,,,https://hh.ru/vacancy/76933775?from=vacancy_search_list&query=python,hh.ru
165,Python (опыт с Rust) разработчик (PT Sandbox),З/П не указана,,,,https://hh.ru/vacancy/76916725?from=vacancy_search_list&query=python,hh.ru
